kd_kab,total,SUBMITTED BY Pencacah,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Pengawas,REJECTED BY Pengawas,COMPLETED BY PML,APPROVED BY Admin Kabupaten,assigned,have-not-assigned
4242WMN,202,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:07,user_assignment,,,,,182.0,20.0
9471,2572,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,2572.0,0.0
9403,1270,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1270.0,0.0
9428,1174,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1174.0,0.0
9409,1151,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1151.0,0.0
9408,1036,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1036.0,0.0
9420,830,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,830.0,0.0
9419,756,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,756.0,0.0
9426,747,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,747.0,0.0
9427,607,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,607.0,0.0
9502,3113,,,95,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:07,user_assignment,,,,,3113.0,0.0
9501,3056,,,95,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:07,user_assignment,,,,,3056.0,0.0
9503,1802,,,95,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:07,user_assignment,,,,,1802.0,0.0
9504,1388,,,95,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:07,user_assignment,,,,,1388.0,0.0
9601,1900,,,96,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1900.0,0.0
9604,1876,,,96,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1876.0,0.0
9602,1472,,,96,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1472.0,0.0
9608,1453,,,96,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1453.0,0.0
9603,1250,,,96,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1250.0,0.0
9606,1135,,,96,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1135.0,0.0
9605,1130,,,96,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1130.0,0.0
9607,410,,,96,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,410.0,0.0
9701,2267,,,97,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,2267.0,0.0
9707,1850,,,97,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1850.0,0.0
9703,1821,,,97,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1821.0,0.0
9704,1759,,,97,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1759.0,0.0
9706,1479,,,97,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1479.0,0.0
9705,1291,,,97,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,1291.0,0.0
9708,867,,,97,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,867.0,0.0
9702,745,,,97,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:06,user_assignment,,,,,745.0,0.0
