kd_kab,total,OPEN,prov_id,name,time_stamp,type,APPROVED BY ADMIN KABUPATEN,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,DRAFT,SUBMITTED RESPONDENT,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9471,1.0,,94,SURVEI TRIWULANAN PERUSAHAAN PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI 2025,2026-02-23 08:46:27,progress,,,,,,,,1.0,,,,,,,,
9408,1.0,,94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-23 08:46:28,progress,1.0,,,,,,,,,,,,,,,
9409,1.0,,94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-23 08:46:28,progress,1.0,,,,,,,,,,,,,,,
9471,1.0,,94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-23 08:46:28,progress,1.0,,,,,,,,,,,,,,,
9501,1.0,,95,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-23 08:46:28,progress,1.0,,,,,,,,,,,,,,,
9604,1.0,,96,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-23 08:46:28,progress,1.0,,,,,,,,,,,,,,,
9702,29.0,,97,PENCACAHAN SKTR 2025,2026-02-23 08:46:28,progress,,29.0,,,,,,,,,,,,,,
9704,8.0,8.0,97,PENCACAHAN SKTR 2025,2026-02-23 08:46:28,progress,,,,,,,,,,,,,,,,
9708,7.0,7.0,97,PENCACAHAN SKTR 2025,2026-02-23 08:46:28,progress,,,,,,,,,,,,,,,,
9701,2.0,,97,PENCACAHAN SKTR 2025,2026-02-23 08:46:28,progress,,2.0,,,,,,,,,,,,,,
9705,2.0,,97,PENCACAHAN SKTR 2025,2026-02-23 08:46:28,progress,,2.0,,,,,,,,,,,,,,
9706,2.0,,97,PENCACAHAN SKTR 2025,2026-02-23 08:46:28,progress,,2.0,,,,,,,,,,,,,,
9707,1.0,1.0,97,PENCACAHAN SKTR 2025,2026-02-23 08:46:28,progress,,,,,,,,,,,,,,,,
