kd_kab,total,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9428,5.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,5.0,,,,,,,,
9501,203.0,0.0,95,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:43,progress,202.0,,,,,,,,
9502,58.0,0.0,95,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:43,progress,,,,,58.0,,,,
9504,40.0,0.0,95,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:43,progress,43.0,,,,,,,,
9503,37.0,0.0,95,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:43,progress,37.0,,,,,,,,
9601,124.0,0.0,96,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,125.0,,,,,,,,
9604,77.0,0.0,96,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,78.0,,,,,,,,
9603,27.0,0.0,96,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,27.0,,,,,,,,
9608,21.0,0.0,96,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,21.0,,,,,,,,
9704,31.0,0.0,97,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,31.0,,,,,,,,
9702,15.0,0.0,97,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,,,,,15.0,,,,
9702,4.0,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-11 08:14:42,progress,4.0,,,,,,,,
9501,18.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-11 08:14:42,progress,16.0,,,,,,2.0,,
9502,3.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-11 08:14:42,progress,3.0,,,,,,,,
9704,8.0,8.0,97,PENCACAHAN SKTR 2025,2026-03-11 08:14:42,progress,,,,,,,,,
9708,7.0,7.0,97,PENCACAHAN SKTR 2025,2026-03-11 08:14:42,progress,,,,,,,,,
9707,1.0,1.0,97,PENCACAHAN SKTR 2025,2026-03-11 08:14:42,progress,,,,,,,,,
9403,7.0,4.0,94,PENCACAHAN SKTR 2025,2026-03-11 08:14:42,progress,,,3.0,,,,,,
9420,4.0,4.0,94,PENCACAHAN SKTR 2025,2026-03-11 08:14:42,progress,,,,,,,,,
9409,3.0,3.0,94,PENCACAHAN SKTR 2025,2026-03-11 08:14:42,progress,,,,,,,,,
9419,1.0,,94,PENCACAHAN SKTR 2025,2026-03-11 08:14:42,progress,,,1.0,,,,,,
9501,6.0,6.0,95,PENCACAHAN SKTR 2025,2026-03-11 08:14:43,progress,,,,,,,,,
9502,6.0,,95,PENCACAHAN SKTR 2025,2026-03-11 08:14:43,progress,,,6.0,,,,,,
9503,1.0,1.0,95,PENCACAHAN SKTR 2025,2026-03-11 08:14:43,progress,,,,,,,,,
9601,32.0,,96,PENCACAHAN SKTR 2025,2026-03-11 08:14:43,progress,,,32.0,,,,,,
9604,4.0,4.0,96,PENCACAHAN SKTR 2025,2026-03-11 08:14:43,progress,,,,,,,,,
9607,3.0,3.0,96,PENCACAHAN SKTR 2025,2026-03-11 08:14:43,progress,,,,,,,,,
9471,8.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,8.0
9403,6.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,6.0
9409,5.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,5.0
9408,1.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,1.0
9501,5.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,5.0
9502,2.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,2.0
9503,2.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,2.0
9601,12.0,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,12.0
9604,1.0,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,1.0
9702,4.0,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-11 08:14:43,user_assignment,,,,,,,,0.0,4.0
9471,44.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,44.0,0.0
9403,6.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,6.0,0.0
9409,5.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,5.0,0.0
9408,3.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,3.0,0.0
9501,14.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,14.0,0.0
9503,6.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,6.0,0.0
9502,4.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,4.0,0.0
9601,40.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,40.0,0.0
9604,2.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,2.0,0.0
9608,1.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,1.0,0.0
9702,5.0,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-11 08:14:43,user_assignment,,,,,,,,5.0,0.0
9501,585.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:43,user_assignment,,,,,,,,458.0,127.0
9502,72.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:43,user_assignment,,,,,,,,72.0,0.0
9504,60.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:43,user_assignment,,,,,,,,60.0,0.0
9503,43.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:43,user_assignment,,,,,,,,43.0,0.0
9471,410.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,295.0,115.0
9409,353.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,353.0,0.0
9403,134.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,127.0,7.0
9420,107.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,107.0,0.0
9408,50.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,50.0,0.0
9419,42.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,42.0,0.0
9426,30.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,30.0,0.0
9427,29.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,29.0,0.0
9428,6.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,6.0,0.0
9601,362.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,258.0,104.0
9604,276.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,276.0,0.0
9608,74.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,58.0,16.0
9603,41.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,41.0,0.0
9704,27.0,,97,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,27.0,0.0
9702,19.0,,97,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:44,user_assignment,,,,,,,,19.0,0.0
9403,51.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:44,user_assignment,,,,,,,,37.0,14.0
9471,42.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:44,user_assignment,,,,,,,,0.0,42.0
9427,21.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:44,user_assignment,,,,,,,,0.0,21.0
9409,18.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:44,user_assignment,,,,,,,,18.0,0.0
9408,16.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:44,user_assignment,,,,,,,,0.0,16.0
9420,14.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:44,user_assignment,,,,,,,,0.0,14.0
9426,9.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:44,user_assignment,,,,,,,,0.0,9.0
