kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,EDITED BY Admin Kabupaten,prov_id,name,time_stamp,type,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN KABUPATEN,COMPLETED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,DRAFT,SUBMITTED RESPONDENT,APPROVED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9603,6.0,,,,96,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,6.0,,,,,,,,,
9605,6.0,,,,96,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,6.0,,,,,,,,,
9607,2.0,,,,96,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,2.0,,,,,,,,,
9602,1.0,,1.0,,96,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9606,1.0,,,,96,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,1.0,,,,,,,,,
9608,1.0,,,,96,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,1.0,,,,,,,,,
9420,1.0,,,,94,SURVEI TRIWULANAN PERUSAHAAN PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI 2025,2026-02-20 09:26:43,progress,,,,,,,,,,1.0,,,,
9471,1.0,,,,94,SURVEI TRIWULANAN PERUSAHAAN PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI 2025,2026-02-20 09:26:43,progress,,,,,,,,,,1.0,,,,
9702,74.0,11.0,,,97,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,63.0,,,,,,,,,,,,
9707,30.0,13.0,17.0,,97,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9704,29.0,,29.0,,97,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9708,25.0,,25.0,,97,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9706,8.0,2.0,,,97,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,6.0,,,,,,,,,,,,
9701,7.0,,,,97,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,7.0,,,,,,,,,,,,
9705,4.0,1.0,,,97,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,3.0,,,,,,,,,,,,
9703,3.0,,3.0,,97,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9471,118.0,118.0,,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9403,47.0,45.0,1.0,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,1.0,,,,,,,,,,,,
9419,24.0,20.0,3.0,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,1.0,,,,,,,,,,
9426,24.0,21.0,3.0,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9408,20.0,20.0,,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9409,20.0,20.0,,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9420,18.0,13.0,1.0,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,4.0,,,,,,,,,,,,
9428,9.0,8.0,,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,1.0,,,,,,,,,,,
9427,5.0,5.0,,,94,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9601,244.0,77.0,162.0,,96,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,5.0,,,,,,,,,,
9608,20.0,20.0,,,96,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9605,13.0,13.0,,,96,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9604,12.0,4.0,8.0,,96,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
